id,readme,Dependency management,Support,Testing,Reporting,Mobile CI,Community,Security,Chat,IDEs,Monitoring,Code review,Code quality,Publishing,Project management,API management,Open Source management,Mobile,Code search,GitHub Sponsors,Continuous integration,Deployment,Container CI,Localization,Utilities,Desktop tools,AI Assisted,Time tracking,Code Scanning Ready,Backup Utilities,Learning
10up/action-wordpress-plugin-deploy,"# Directories
# Files",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10up/action-wordpress-plugin-asset-update,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
actions/setup-java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
eskatos/gradle-command-action,"# Only write to the cache for builds on the \'main\' and \'release\' branches. (Default is \'main\' only.)
# Builds on other branches will only read existing entries from the cache.
# Cache downloaded JDKs in addition to the default directories.
# Exclude the local build-cache and keyrings from the directories cached.
# .github/workflows/gradle-build-pr.yml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
microsoft/setup-msbuild,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
joncloud/makensis-action,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ruby/setup-ruby,"        # Due to https://github.com/actions/runner/issues/849, we have to use quotes for \'3.0\'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
shivammathur/setup-php,"# For runs-on: ubuntu-latest
# For runs-on: ubuntu-22.04
# For runs-on: ubuntu-20.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
actions-rs/cargo,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actions/setup-dotnet,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rtCamp/action-slack-notify,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actions/create-release,"    # Sequence of patterns matched against refs/tags",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rohith/publish-nuget,"      # - name: Setup dotnet\r
      #   uses: actions/setup-dotnet@v1\r
      #   with:\r
      #     dotnet-version: 3.1.200\r
      # Publish\r
          # Filepath of the project to be packaged, relative to root of repository\r
          # Configuration to build and package\r
          # BUILD_CONFIGURATION: Release\r
          # Platform target to compile (default is empty/AnyCPU)\r
          # BUILD_PLATFORM: x64\r
          # NuGet package id, used for version detection & defaults to project name\r
          # PACKAGE_NAME: Core\r
          # Filepath with version info, relative to root of repository & defaults to PROJECT_FILE_PATH\r
          # VERSION_FILE_PATH: Directory.Build.props\r
          # Regex pattern to extract version info in a capturing group\r
          # VERSION_REGEX: ^\\s*<Version>(.*)<\\/Version>\\s*$\r
          # Useful with external providers like Nerdbank.GitVersioning, ignores VERSION_FILE_PATH & VERSION_REGEX\r
          # VERSION_STATIC: 1.0.0\r
          # Flag to toggle git tagging, enabled by default\r
          # TAG_COMMIT: true\r
          # Format of the git tag, [*] gets replaced with actual version\r
          # TAG_FORMAT: v*\r
          # API key to authenticate with NuGet server\r
          # NUGET_KEY: ${{secrets.NUGET_API_KEY}}\r
          # NuGet server uri hosting the packages, defaults to https://api.nuget.org\r
          # NUGET_SOURCE: https://api.nuget.org\r
          # Flag to toggle pushing symbols along with nuget package to the server, disabled by default\r
          # INCLUDE_SYMBOLS: false\r",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
goanpeca/setup-miniconda,"          # Increase this value to reset cache if etc/example-environment.yml has not changed
    # Increase this value to reset cache if etc/example-environment.yml has not changed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actions/download-artifact,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pypa/gh-action-pypi-publish,"# .github/workflows/ci-cd.yml
    # retrieve your distributions here",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wagoid/commitlint-github-action,"      # Run the commitlint action, considering its own dependencies and yours as well \xf0\x9f\x9a\x80
      # `github.workspace` is the path to your repository.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whelk-io/maven-settings-xml-action,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actionshub/chef-delivery,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
actionshub/yamllint,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
actionshub/markdownlint,"# Enable all rules by default
# Extend line length, since each sentence should be on a separate line.
# Allow in-line HTML
# Nested lists should be indented with four spaces.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
actionshub/chef-install,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
actionshub/kitchen-dokken,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
actionshub/test-kitchen,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gaurav-nelson/github-action-markdown-link-check,"  # Run everyday at 9:00 AM (See https://pubs.opengroup.org/onlinepubs/9699919799/utilities/crontab.html#tag_20_25_07)
## Section
    # check out the latest version of the code
    # Checks the status of hyperlinks in .md files in verbose mode",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
actions/setup-ruby,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actions/setup-node,"    # Version Spec of the version to use in SemVer notation.
    # It also emits such aliases as lts, latest, nightly and canary builds
    # Examples: 12.x, 10.15.1, >=10.15.0, lts/Hydrogen, 16-nightly, latest, node
    # File containing the version Spec of the version to use.  Examples: .nvmrc, .node-version, .tool-versions.
    # If node-version and node-version-file are both provided the action will use version from node-version. 
    # Set this option if you want the action to check for the latest available version 
    # that satisfies the version spec.
    # It will only get affect for lts Nodejs versions (12.x, >=10.15.0, lts/Hydrogen). 
    # Default: false
    # Target architecture for Node to use. Examples: x86, x64. Will use system architecture by default.
    # Default: \'\'. The action use system architecture by default 
    # Used to pull node distributions from https://github.com/actions/node-versions. 
    # Since there\'s a default, this is typically not supplied by the user. 
    # When running this action on github.com, the default value is sufficient. 
    # When running on GHES, you can pass a personal access token for github.com if you are experiencing rate limiting.
    #
    # We recommend using a service account with the least permissions necessary. Also
    # when generating a new PAT, select the least scopes necessary.
    #
    # [Learn more about creating and using encrypted secrets](https://help.github.com/en/actions/automating-your-workflow-with-github-actions/creating-and-using-encrypted-secrets)
    #
    # Default: ${{ github.server_url == \'https://github.com\' && github.token || \'\' }}
    # Used to specify a package manager for caching in the default directory. Supported values: npm, yarn, pnpm.
    # Package manager should be pre-installed
    # Default: \'\'
    # Used to specify the path to a dependency file: package-lock.json, yarn.lock, etc. 
    # It will generate hash from the target file for primary key. It works only If cache is specified.  
    # Supports wildcards or a list of file names for caching multiple dependencies.
    # Default: \'\'
    # Optional registry to set up for auth. Will set the registry in a project level .npmrc and .yarnrc file, 
    # and set up auth to read in from env.NODE_AUTH_TOKEN.
    # Default: \'\'
    # Optional scope for authenticating against scoped registries. 
    # Will fall back to the repository owner when using the GitHub Packages registry (https://npm.pkg.github.com/).
    # Default: \'\'
    # Set always-auth option in npmrc file.
    # Default: \'\'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
peaceiris/actions-hugo,"          # extended: true
    # image: peaceiris/hugo:v${HUGO_VERSION}-mod   # Hugo Modules
    # image: peaceiris/hugo:v${HUGO_VERSION}-full  # Hugo Modules and Node.js
          # The action defaults to search for the dependency file (package-lock.json,
          # npm-shrinkwrap.json or yarn.lock) in the repository root, and uses its
          # hash as a part of the cache key.
          # https://github.com/actions/setup-node/blob/main/docs/advanced-usage.md#caching-packages-data
# On container
# Release script on host",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
actions/first-interaction,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
actions/stale,"          # You can opt for \'only-labels\' instead if your use-case requires all labels
          # to be present in the issue/PR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
act10ns/slack,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crazy-max/ghaction-chocolatey,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
octokit/graphql-action,"# Fails with ""Error: Variable $itemId of type String! was provided invalid value""
# The variable name must be lower-case:
# Both: in the query and action var declaration:",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JamesIves/github-pages-deploy-action,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
actions/setup-go,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
coverallsapp/github-action,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dschep/install-poetry-action,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
paambaati/codeclimate-action,"      # Set CC_TEST_REPORTER_ID as secret of your repo
      # The report file must be there, otherwise Code Climate won\'t find it",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pre-commit/action,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TimonVS/pr-labeler-action,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
toolmantim/release-drafter,"    # branches to consider in the event; optional, defaults to all
  # pull_request event is required only for autolabeler
    # Only following types are handled by the action, but one can default to all as well
  # pull_request_target event is required for autolabeler to support PRs from forks
  # pull_request_target:
  #   types: [opened, reopened, synchronize]
      # write permission is required to create a github release
      # write permission is required for autolabeler
      # otherwise, read permission is required at least
      # (Optional) GitHub Enterprise requires GHE_HOST variable set
      #- name: Set GHE_HOST
      #  run: |
      #    echo ""GHE_HOST=${GITHUB_SERVER_URL##https:\\/\\/}"" >> $GITHUB_ENV
      # Drafts your next Release notes as Pull Requests are merged into ""master""
        # (Optional) specify config name to use, relative to .github/. Default: release-drafter.yml
        # with:
        #   config-name: my-config.yml
        #   disable-autolabeler: true
  ## What\xe2\x80\x99s Changed
  ## Changes
# Install dependencies
# Run the tests
# Run the app locally
# Run the tests",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kolpav/purge-artifacts-action,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thefringeninja/action-minver,"    # Optional. Specifies which part of the version to auto-increment.
    # Optional. Sets custom build metadata for your semantic version.
    # Optional. Specifies the default pre-release phase.
    # Optional. Specifies the minimum version to use when no tags exist.
    # Optional. Specifies the prefix of the tags
    # Optional. Specifies the log level.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actions/upload-release-asset,"    # Sequence of patterns matched against refs/tags",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dawidd6/action-download-artifact,"    # Optional, GitHub token, a Personal Access Token with `public_repo` scope if needed
    # Required, if the artifact is from a different repo
    # Required, if the repo is private a Personal Access Token with `repo` scope is needed or GitHub token in a job where the permissions `action` scope set to `read`
    # Optional, workflow file name or ID
    # If not specified, will be inferred from run_id (if run_id is specified), or will be the current workflow
    # Optional, the status or conclusion of a completed workflow to search for
    # Can be one of a workflow conclusion:
    #   ""failure"", ""success"", ""neutral"", ""cancelled"", ""skipped"", ""timed_out"", ""action_required""
    # Or a workflow status:
    #   ""completed"", ""in_progress"", ""queued""
    # Use the empty string ("""") to ignore status or conclusion in the search
    # Optional, will get head commit SHA
    # Optional, no need to specify if PR is
    # Optional, will use the specified branch. Defaults to all branches
    # Optional, defaults to all types
    # Optional, will use specified workflow run
    # use ${{ github.event.workflow_run.id }} when your action runs in a workflow_run event
    # and wants to download from the triggering workflow run
    # Optional, run number from the workflow
    # Optional, uploaded artifact name,
    # will download all artifacts if not specified
    # and extract them into respective subdirectories
    # https://github.com/actions/download-artifact#download-all-artifacts
    # is treated as a regular expression if input name_is_regexp is true
    # will download only those artifacts with a name that matches this regular expression
    # https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Regular_expressions
    # Optional, name is treated as a regular expression if set true
    # Optional, a directory where to extract artifact(s), defaults to the current directory
    # Optional, defaults to current repo
    # Optional, check the workflow run to whether it has an artifact
    # then will get the last available artifact from the previous workflow
    # default false, just try to download from the last one
    # Optional, search for the last workflow run whose stored an artifact named as in `name` input
    # default false
    # Optional, choose to skip unpacking the downloaded artifact(s)
    # default false
    # Optional, choose how to exit the action if no artifact is found
    # can be one of:
    #  ""fail"", ""warn"", ""ignore""
    # default fail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ncipollo/release-action,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DamianReeves/write-file-action,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
zymap/bot,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
actions/github-script,"      # or one-off:",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gradle/wrapper-validation-action,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burrunan/gradle-cache-action,"  # Extra environment variables for Gradle execution (regular GitHub Actions feature)
  # Note: env must be outside of ""with""
    # If you have multiple jobs, use distinct job-id in in case you want to split caches
    # For instance, jobs with different JDK versions can\'t share caches
    # RUNNER_OS is added to job-id automatically
    # Specifies arguments for Gradle execution
    # If arguments is missing or empty, then Gradle is not executed
    # arguments can be multi-line for better readability
    # arguments: |
    #  --no-paralell
    #  build
    #  -x test
    # Gradle version to use for execution:
    #   wrapper (default), current, rc, nightly, release-nightly, or
    #   versions like 6.6 (see https://services.gradle.org/versions/all)
    # Properties are passed as -Pname=value
  # Extra environment variables for Gradle execution (regular GitHub Actions feature)
    # If you have multiple jobs, use distinct job-id in in case you want to split caches
    # For instance, jobs with different JDK versions can\'t share caches
    # RUNNER_OS is added to job-id automatically
    # Overrides $HOME
    # home-directory: /home/user
    # Disable caching of $HOME/.gradle/caches/*.*/generated-gradle-jars
    # Disable remote cache that proxies requests to GitHub Actions cache
    # Set the cache key for Gradle version (e.g. in case multiple jobs use different versions)
    # By default the value is `wrapper`, so the version is determined from the gradle-wrapper.properties   
    # Note: this argument specifies the version for Gradle execution (if `arguments` is present)
    # Supported values:
    #   wrapper (default), current, rc, nightly, release-nightly, or
    #   versions like 6.6 (see https://services.gradle.org/versions/all)
    # Makes all non-main branch builds to use read-only caching
    # Arguments for Gradle execution
    # Properties are passed as -Pname=value
    # Relative path under $GITHUB_WORKSPACE where Git repository is placed
    # Activates only the caches that are relevant for executing gradle command.
    # This is helpful when build job executes multiple gradle commands sequentially.
    # Then the caching is implemented in the very first one, and the subsequent should be marked
    # with execution-only-caches: true
    # Disable caching of ~/.gradle/caches/build-cache-*
    # Disable caching of ~/.gradle/caches/modules-*
    # Extra files to take into account for ~/.gradle/caches dependencies
    # Disable caching of ~/.m2/repository/
    # Ignore some of the paths when caching Maven Local repository
    # Enable concurrent cache save and restore
    # Default is concurrent=false for better log readability
    # Disable publishing Gradle Build Scan URL to job report
    # Disable warning about missing distributionSha256Sum property in gradle-wrapper.properties",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
reviewdog/action-shellcheck,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scacap/action-surefire-report,"    # Permissions block is optional, useful for dependabot checks",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stCarolas/setup-maven,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
srvaroa/labeler,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
release-drafter/release-drafter,"    # branches to consider in the event; optional, defaults to all
  # pull_request event is required only for autolabeler
    # Only following types are handled by the action, but one can default to all as well
  # pull_request_target event is required for autolabeler to support PRs from forks
  # pull_request_target:
  #   types: [opened, reopened, synchronize]
      # write permission is required to create a github release
      # write permission is required for autolabeler
      # otherwise, read permission is required at least
      # (Optional) GitHub Enterprise requires GHE_HOST variable set
      #- name: Set GHE_HOST
      #  run: |
      #    echo ""GHE_HOST=${GITHUB_SERVER_URL##https:\\/\\/}"" >> $GITHUB_ENV
      # Drafts your next Release notes as Pull Requests are merged into ""master""
        # (Optional) specify config name to use, relative to .github/. Default: release-drafter.yml
        # with:
        #   config-name: my-config.yml
        #   disable-autolabeler: true
  ## What\xe2\x80\x99s Changed
  ## Changes
# Install dependencies
# Run the tests
# Run the app locally
# Run the tests",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GabrielBB/xvfb-action,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dessant/lock-threads,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ilammy/msvc-dev-cmd,"      # ...
    # Run a job for each of the specified target architectures:
      # ...
      # ...
      # ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
octokit/request-action,"      # Create check run
      # Download file
      # Update check run to completed, successful status
  # As JSON
  # As block scalar
##[warning]Unexpected input \'repository\', valid inputs are [\'route\', \'mediaType\']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DoozyX/clang-format-lint-action,"# ignore third_party code from clang-format checks",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charmixer/auto-changelog-action,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
actions/setup-elixir,"# config/test.exs
# Configure the database for local testing
# Configure the database for GitHub Actions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eregon/use-ruby-action,"        # Due to https://github.com/actions/runner/issues/849, we have to use quotes for \'3.0\'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
cadwallion/publish-rubygems-action,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
textbook/git-checkout-submodule-action,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
burnett01/rsync-deployments,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
at-wat/bloom-release-action,"          # open_pr: true
          # open_pr: true",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
at-wat/catkin-release-action,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
repo-sync/pull-request,"# File: .github/workflows/pull-request.yml",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emgre/setup-java,"        # test against latest update of each major Java version, as well as specific updates of LTS versions:",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuget/setup-nuget,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
automattic/action-jetpack-build-to-branch,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jwalton/gh-find-current-pr,"      # Find the PR associated with this push, if there is one.
          # Can be ""open"", ""closed"", or ""all"".  Defaults to ""open"".
      # This will echo ""Your PR is 7"", or be skipped if there is no current PR.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
